operadora,nombre_oferta,tipo,precio_base,velocidad_fibra,adecuada_para_uso_intenso,gb_linea_principal,lineas_moviles_base,max_lineas_adicionales,precio_linea_adicional,gb_linea_adicional,incluye_linea_fija,minutos,permanencia,opciones_tv,plataformas_incluidas_base,opciones_streaming,promocion_precio_base,promocion_duracion,caracteristicas,puntuacion,id,created_date,updated_date,created_by_id,created_by,is_sample
"O2","Fibra 600Mb y 60GB de móvil 5G+","fibra_movil","35","600Mb","","60","1","5","5","40","true","Ilimitados","","[]","[]","[]","","","[]","","68c850cf66e75a960371a965","2025-09-15T17:45:51.408000","2025-09-17T14:29:54.269000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 600Mb y dos líneas móviles 5G+","fibra_movil","35","600Mb","","25","2","4","5","40","true","Ilimitados","","[]","[]","[]","","","[]","","68c8510e88aa3af3db7d7356","2025-09-15T17:46:54.139000","2025-09-17T14:30:06.525000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 1GB y 120GB de móvil 5G+","fibra_movil","38","1Gb","true","120","1","5","5","40","true","Ilimitados","","[]","[]","[]","","","[]","","68c8514eb8da4dcc456323ff","2025-09-15T17:47:58.963000","2025-09-17T14:30:17.011000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 600Mb y 35GB de móvil 5G+ TV","fibra_movil","38","600Mb","","34","1","5","5","40","true","Ilimitados","","[]","[]","[]","","","[]","","68c8518fcb5b1beb44758ccf","2025-09-15T17:49:03.223000","2025-09-23T07:43:18.248000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 600Mb y 60GB de móvil 5G+ TV","fibra_movil","45","600Mb","","60","1","5","5","40","true","Ilimitados","-1","[]","[""Netflix""]","[]","","","[]","","68c851d6651c2fa0ffacf07b","2025-09-15T17:50:14.775000","2025-09-23T07:43:35.314000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 1Gb y 350GB de móvil 5G+ TV","fibra_movil","50","1Gb","true","350","1","5","5","40","true","Ilimitados","","[]","[]","[]","","","[]","","68c852106e13ed1e3994e0b9","2025-09-15T17:51:12.664000","2025-09-23T07:43:47.601000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"O2","Fibra 1Gb y 375GB de móvil 5G+ TV","fibra_movil","56","1Gb","true","375","1","5","5","40","true","Ilimitados","","[]","[""Netflix""]","[]","","","[]","","68c8524b5900b4791c74a31d","2025-09-15T17:52:11.192000","2025-09-23T07:44:00.590000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 300 mb + 50GB de móvil","fibra_movil","30","300Mb","","50","1","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney+"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4}]","","","[]","","68c92dddec0a034761d7c779","2025-09-16T09:29:01.534000","2025-10-03T07:30:28.274000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 300 mb + 25GB de móvil + 25GB de móvil","fibra_movil","30","300Mb","","25","2","4","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv"",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4}]","","","[]","","68c92fd2a8d3f6470cc39b4d","2025-09-16T09:37:22.801000","2025-10-03T07:31:20.417000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
"Lowi","Fibra 600 mb + 50GB de móvil","fibra_movil","33","600Mb","","50","1","5","5","50","","Ilimitados","","[{""nombre"":""Lowi Tv "",""precio"":5,""canales"":[]},{""nombre"":""Lowi Tv + Pack Deportes"",""precio"":8,""canales"":[]}]","[]","[{""nombre"":""Netflix"",""precio"":6},{""nombre"":""Disney +"",""precio"":5},{""nombre"":""Prime Video"",""precio"":4}]","","","[]","","68c930618bcf033837674bb5","2025-09-16T09:39:45.168000","2025-10-03T07:31:32.092000","68c846aed65ae213a3849b33","martinvazquezmoreno7@gmail.com",""
